category,count
CO_SB165_P.txt
actor_court,1
actor_expert,1
actor_industry,1
actor_other,1
actor_state,1
object_tax_finance,2
object_ogdevelopment,7
object_og_policies_strategies,2
object_policies_other,4
object_envir_health,4
object_resource,5
rule_info,7
rule_enforcement,4
rule_authority,10
rule_choice,6
rule_constitutive,2
rule_deontic_may,1
rule_deontic_must,4
rule_position,1
ND_HB1026_P.txt
actor_expert,1
actor_fed,2
actor_industry,3
actor_local,4
actor_public,3
actor_state,3
object_tax_finance,2
object_ogdevelopment,9
object_infrastructure,4
object_og_policies_strategies,2
object_negexternalities,13
object_resource,3
rule_info,34
rule_enforcement,10
rule_aggregation,2
rule_authority,20
rule_choice,20
rule_constitutive,2
rule_deontic_may,1
rule_deontic_must,3
rule_deontic_should,1
rule_payoff,2
rule_position,2
object_envir_health,1
CO_HB1379_P.txt
actor_fed,1
actor_industry,1
actor_public,1
actor_state,4
object_og_policies_strategies,1
object_envir_health,6
object_negexternalities,1
object_resource,3
rule_info,4
rule_aggregation,2
rule_authority,3
rule_choice,5
rule_constitutive,1
rule_deontic_must,2
rule_position,1
object_ogdevelopment,1
LA_HB661_P.txt
actor_court,1
actor_fed,2
actor_industry,3
actor_local,2
actor_public,1
actor_state,6
object_tax_finance,11
object_ogdevelopment,12
object_infrastructure,5
object_og_policies_strategies,5
object_policies_other,2
object_envir_health,5
object_negexternalities,13
object_resource,12
rule_info,40
rule_enforcement,17
rule_aggregation,6
rule_authority,33
rule_choice,26
rule_constitutive,7
rule_deontic_may,1
rule_deontic_must,4
rule_payoff,4
rule_position,3
LA_HB624_P.txt
actor_fed,1
actor_public,1
actor_state,1
object_tax_finance,2
object_ogdevelopment,3
rule_info,3
rule_authority,3
rule_choice,1
rule_constitutive,2
rule_deontic_may,1
rule_deontic_must,1
NY_A408_P.txt
actor_local,1
actor_other,1
actor_public,1
actor_state,1
object_tax_finance,3
object_og_policies_strategies,1
object_negexternalities,1
object_resource,6
rule_info,10
rule_enforcement,1
rule_authority,8
rule_choice,6
rule_constitutive,3
rule_deontic_may,1
rule_deontic_must,2
rule_position,1
object_envir_health,1
object_ogdevelopment,2
NY_A10526_P.txt
actor_fed,1
actor_industry,2
actor_public,1
object_tax_finance,3
object_ogdevelopment,7
object_og_policies_strategies,1
object_resource,6
rule_info,7
object_envir_health,1
rule_enforcement,4
rule_authority,10
rule_choice,5
rule_constitutive,4
rule_deontic_may,1
rule_deontic_must,3
CA_SB705_P.txt
actor_fed,2
actor_industry,1
object_og_policies_strategies,3
object_tax_finance,1
object_ogdevelopment,3
object_policies_other,1
object_negexternalities,5
object_resource,2
rule_info,6
rule_enforcement,7
rule_authority,10
rule_choice,8
rule_constitutive,3
rule_deontic_may,1
rule_deontic_must,3
rule_deontic_should,1
rule_payoff,3
rule_position,1
